repositorio,url,total_releases
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,0
sindresorhus/awesome,https://github.com/sindresorhus/awesome,0
public-apis/public-apis,https://github.com/public-apis/public-apis,0
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,0
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,0
openclaw/openclaw,https://github.com/openclaw/openclaw,234
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,1
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,0
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,0
vinta/awesome-python,https://github.com/vinta/awesome-python,0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,1
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,0
996icu/996.ICU,https://github.com/996icu/996.ICU,0
obra/superpowers,https://github.com/obra/superpowers,12
react/react,https://github.com/react/react,132
torvalds/linux,https://github.com/torvalds/linux,0
affaan-m/ECC,https://github.com/affaan-m/ECC,15
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,0
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,28
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,0
mattpocock/skills,https://github.com/mattpocock/skills,7
vuejs/vue,https://github.com/vuejs/vue,249
ossu/computer-science,https://github.com/ossu/computer-science,0
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,0
n8n-io/n8n,https://github.com/n8n-io/n8n,764
anomalyco/opencode,https://github.com/anomalyco/opencode,860
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,222
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,0
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,0
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,0
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,0
microsoft/vscode,https://github.com/microsoft/vscode,233
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,31
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,117
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,0
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,135
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,0
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,0
avelino/awesome-go,https://github.com/avelino/awesome-go,0
ollama/ollama,https://github.com/ollama/ollama,245
flutter/flutter,https://github.com/flutter/flutter,7
github/gitignore,https://github.com/github/gitignore,0
twbs/bootstrap,https://github.com/twbs/bootstrap,94
microsoft/markitdown,https://github.com/microsoft/markitdown,20
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,68
anthropics/skills,https://github.com/anthropics/skills,0
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,35
f/prompts.chat,https://github.com/f/prompts.chat,0
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,27
huggingface/transformers,https://github.com/huggingface/transformers,268
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,0
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,1
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,0
langflow-ai/langflow,https://github.com/langflow-ai/langflow,303
langgenius/dify,https://github.com/langgenius/dify,168
open-webui/open-webui,https://github.com/open-webui/open-webui,167
airbnb/javascript,https://github.com/airbnb/javascript,0
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,52
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,0
langchain-ai/langchain,https://github.com/langchain-ai/langchain,1000
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,0
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,0
anthropics/claude-code,https://github.com/anthropics/claude-code,190
vercel/next.js,https://github.com/vercel/next.js,1000
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,341
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,67
microsoft/PowerToys,https://github.com/microsoft/PowerToys,141
iptv-org/iptv,https://github.com/iptv-org/iptv,0
golang/go,https://github.com/golang/go,0
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,0
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,0
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,0
github/spec-kit,https://github.com/github/spec-kit,212
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,15
krahets/hello-algo,https://github.com/krahets/hello-algo,10
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,12
garrytan/gstack,https://github.com/garrytan/gstack,0
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,153
farion1231/cc-switch,https://github.com/farion1231/cc-switch,51
react/react-native,https://github.com/react/react-native,471
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,810
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,1000
electron/electron,https://github.com/electron/electron,1000
shadcn-ui/ui,https://github.com/shadcn-ui/ui,117
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,39
nodejs/node,https://github.com/nodejs/node,512
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,0
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,3
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,0
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,41
godotengine/godot,https://github.com/godotengine/godot,72
rust-lang/rust,https://github.com/rust-lang/rust,153
mrdoob/three.js,https://github.com/mrdoob/three.js,177
2dust/v2rayN,https://github.com/2dust/v2rayN,333
d3/d3,https://github.com/d3/d3,194
immich-app/immich,https://github.com/immich-app/immich,305
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,15
tauri-apps/tauri,https://github.com/tauri-apps/tauri,0
microsoft/TypeScript,https://github.com/microsoft/TypeScript,217
browser-use/browser-use,https://github.com/browser-use/browser-use,135
axios/axios,https://github.com/axios/axios,123
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,0
fatedier/frp,https://github.com/fatedier/frp,116
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,0
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,17
denoland/deno,https://github.com/denoland/deno,388
supabase/supabase,https://github.com/supabase/supabase,30
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,192
openai/whisper,https://github.com/openai/whisper,13
openai/codex,https://github.com/openai/codex,993
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,588
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,0
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,15
microsoft/terminal,https://github.com/microsoft/terminal,156
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,1
react/create-react-app,https://github.com/react/create-react-app,83
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,0
pytorch/pytorch,https://github.com/pytorch/pytorch,68
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,5
neovim/neovim,https://github.com/neovim/neovim,54
fastapi/fastapi,https://github.com/fastapi/fastapi,300
angular/angular,https://github.com/angular/angular,689
ruanyf/weekly,https://github.com/ruanyf/weekly,0
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,0
ant-design/ant-design,https://github.com/ant-design/ant-design,759
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,21
mui/material-ui,https://github.com/mui/material-ui,572
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,8
nvbn/thefuck,https://github.com/nvbn/thefuck,17
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,307
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,0
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,0
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,13
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,701
oven-sh/bun,https://github.com/oven-sh/bun,214
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,0
microsoft/playwright,https://github.com/microsoft/playwright,165
nvm-sh/nvm,https://github.com/nvm-sh/nvm,74
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,0
karpathy/autoresearch,https://github.com/karpathy/autoresearch,0
earendil-works/pi,https://github.com/earendil-works/pi,255
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,0
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,1
3b1b/manim,https://github.com/3b1b/manim,13
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,307
storybookjs/storybook,https://github.com/storybookjs/storybook,1000
