repositorio,url,data_criacao,idade_anos
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,8.28
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,12.11
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,10.42
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,11.65
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,12.86
openclaw/openclaw,https://github.com/openclaw/openclaw,2025-11-24T10:16:47Z,0.74
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,9.48
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,2017-03-15T13:45:52Z,9.43
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,10.21
vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,12.15
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,11.22
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,9.36
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,7.4
obra/superpowers,https://github.com/obra/superpowers,2025-10-09T19:45:18Z,0.86
react/react,https://github.com/react/react,2013-05-24T16:15:54Z,13.24
torvalds/linux,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,14.96
affaan-m/ECC,https://github.com/affaan-m/ECC,2026-01-18T00:51:51Z,0.59
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,8.16
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,2025-07-22T22:22:28Z,1.08
mattpocock/skills,https://github.com/mattpocock/skills,2026-02-03T11:15:53Z,0.54
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,10.09
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,13.06
ossu/computer-science,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,12.3
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,0.56
n8n-io/n8n,https://github.com/n8n-io/n8n,2019-06-22T09:24:21Z,7.16
anomalyco/opencode,https://github.com/anomalyco/opencode,2025-04-30T20:08:00Z,1.31
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,10.79
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,8.41
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,2026-03-31T08:58:08Z,0.39
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2.22
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,16.98
microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,10.96
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,6.6
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,3.43
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2020-10-26T04:22:55Z,5.82
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,8.51
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,8.47
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,12.76
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,12.12
ollama/ollama,https://github.com/ollama/ollama,2023-06-26T19:39:32Z,3.15
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,11.46
github/gitignore,https://github.com/github/gitignore,2010-11-08T20:17:14Z,15.78
microsoft/markitdown,https://github.com/microsoft/markitdown,2024-11-13T19:56:40Z,1.77
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,15.06
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,10.3
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,0.02
anthropics/skills,https://github.com/anthropics/skills,2025-09-22T15:53:31Z,0.91
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,2024-04-15T21:02:29Z,2.35
f/prompts.chat,https://github.com/f/prompts.chat,2022-12-05T13:54:13Z,3.71
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,3.99
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,7.81
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,11.25
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,8.29
langflow-ai/langflow,https://github.com/langflow-ai/langflow,2023-02-08T22:28:03Z,3.53
langgenius/dify,https://github.com/langgenius/dify,2023-04-12T07:40:24Z,3.36
open-webui/open-webui,https://github.com/open-webui/open-webui,2023-10-06T22:08:27Z,2.87
airbnb/javascript,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,13.8
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,8.74
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,2025-10-13T12:12:29Z,0.85
langchain-ai/langchain,https://github.com/langchain-ai/langchain,2022-10-17T02:58:36Z,3.84
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,1.46
anthropics/claude-code,https://github.com/anthropics/claude-code,2025-02-22T17:41:21Z,1.49
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,10.13
vercel/next.js,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,9.87
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,15.8
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,2.75
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,7.3
iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14T22:00:57Z,7.76
golang/go,https://github.com/golang/go,2014-08-19T04:33:40Z,12.0
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,6.5
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,2.31
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,2015-03-18T21:06:26Z,11.42
github/spec-kit,https://github.com/github/spec-kit,2025-08-21T22:54:31Z,1.0
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02T01:04:43Z,6.63
krahets/hello-algo,https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,3.79
garrytan/gstack,https://github.com/garrytan/gstack,2026-03-11T21:22:45Z,0.44
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,8.72
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,3.59
farion1231/cc-switch,https://github.com/farion1231/cc-switch,2025-08-04T14:16:16Z,1.04
react/react-native,https://github.com/react/react-native,2015-01-09T18:10:16Z,11.61
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,2023-03-10T18:58:00Z,3.45
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,12.2
electron/electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,13.36
shadcn-ui/ui,https://github.com/shadcn-ui/ui,2023-01-04T12:43:27Z,3.62
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,2020-09-28T15:36:08Z,5.89
nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,11.73
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,10.39
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,0.72
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,12.79
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,3.17
godotengine/godot,https://github.com/godotengine/godot,2014-01-04T16:05:36Z,12.62
rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,16.18
mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,16.41
2dust/v2rayN,https://github.com/2dust/v2rayN,2019-07-30T03:47:24Z,7.06
d3/d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,15.9
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,2.44
immich-app/immich,https://github.com/immich-app/immich,2022-02-03T15:56:27Z,4.54
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,10.09
tauri-apps/tauri,https://github.com/tauri-apps/tauri,2019-07-13T09:09:37Z,7.11
microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,12.17
browser-use/browser-use,https://github.com/browser-use/browser-use,2024-10-31T16:00:56Z,1.8
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,2026-03-31T16:37:01Z,0.39
axios/axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,12.0
fatedier/frp,https://github.com/fatedier/frp,2015-12-21T15:24:59Z,10.66
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,12.68
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,2026-04-03T15:49:07Z,0.38
denoland/deno,https://github.com/denoland/deno,2018-05-15T01:34:26Z,8.27
supabase/supabase,https://github.com/supabase/supabase,2019-10-12T05:56:49Z,6.86
openai/whisper,https://github.com/openai/whisper,2022-09-16T20:02:54Z,3.93
openai/codex,https://github.com/openai/codex,2025-04-13T05:37:54Z,1.35
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,2025-04-17T17:04:31Z,1.34
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,2026-06-12T00:52:37Z,0.19
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,8.93
microsoft/terminal,https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,9.02
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,1.65
react/create-react-app,https://github.com/react/create-react-app,2016-07-17T14:55:11Z,10.09
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,3.08
pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,10.02
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,2020-02-29T10:43:49Z,6.47
neovim/neovim,https://github.com/neovim/neovim,2014-01-31T13:39:22Z,12.55
fastapi/fastapi,https://github.com/fastapi/fastapi,2018-12-08T08:21:47Z,7.7
angular/angular,https://github.com/angular/angular,2014-09-18T16:12:01Z,11.92
ruanyf/weekly,https://github.com/ruanyf/weekly,2018-10-13T12:36:07Z,7.85
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,8.99
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,2026-04-04T10:03:00Z,0.38
ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,11.32
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,2024-12-28T03:31:08Z,1.64
mui/material-ui,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,12.0
nvbn/thefuck,https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,11.37
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,8.87
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,7.48
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,5.78
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2.9
