repositorio,url,pull_requests_aceitas
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,157
sindresorhus/awesome,https://github.com/sindresorhus/awesome,701
public-apis/public-apis,https://github.com/public-apis/public-apis,2151
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,29125
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,7424
openclaw/openclaw,https://github.com/openclaw/openclaw,26532
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,210
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,4400
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,415
vinta/awesome-python,https://github.com/vinta/awesome-python,741
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,194
996icu/996.ICU,https://github.com/996icu/996.ICU,1072
obra/superpowers,https://github.com/obra/superpowers,167
react/react,https://github.com/react/react,13035
torvalds/linux,https://github.com/torvalds/linux,0
affaan-m/ECC,https://github.com/affaan-m/ECC,998
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,122
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,11387
mattpocock/skills,https://github.com/mattpocock/skills,94
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,3088
vuejs/vue,https://github.com/vuejs/vue,1136
ossu/computer-science,https://github.com/ossu/computer-science,315
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,12
n8n-io/n8n,https://github.com/n8n-io/n8n,20253
anomalyco/opencode,https://github.com/anomalyco/opencode,7393
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,48928
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,309
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,143
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,0
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,3655
microsoft/vscode,https://github.com/microsoft/vscode,52204
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,7
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,4778
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,3415
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,374
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,13
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,370
avelino/awesome-go,https://github.com/avelino/awesome-go,3881
ollama/ollama,https://github.com/ollama/ollama,3531
flutter/flutter,https://github.com/flutter/flutter,49680
github/gitignore,https://github.com/github/gitignore,1779
microsoft/markitdown,https://github.com/microsoft/markitdown,184
twbs/bootstrap,https://github.com/twbs/bootstrap,9486
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,17
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,0
anthropics/skills,https://github.com/anthropics/skills,50
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,1942
f/prompts.chat,https://github.com/f/prompts.chat,236
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,1875
huggingface/transformers,https://github.com/huggingface/transformers,20223
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,317
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,1270
langflow-ai/langflow,https://github.com/langflow-ai/langflow,7333
langgenius/dify,https://github.com/langgenius/dify,13463
open-webui/open-webui,https://github.com/open-webui/open-webui,4073
airbnb/javascript,https://github.com/airbnb/javascript,822
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,153
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,222
langchain-ai/langchain,https://github.com/langchain-ai/langchain,17276
