linguagem_primaria,quantidade_repositorios,mediana_pull_requests,mediana_releases,mediana_dias_desde_atualizacao,popular
Python,227,559.0,20.0,0.03,True
TypeScript,173,1979.0,133.0,0.03,True
JavaScript,111,617.0,39.0,0.12,True
Go,77,1958.0,140.0,0.04,True
Rust,57,2495.0,90.0,0.02,False
Java,41,943.0,55.0,0.08,True
C++,41,1159.0,46.0,0.04,True
Jupyter Notebook,24,78.0,0.0,0.045,False
C,21,294.0,45.0,0.03,True
Shell,20,389.5,9.5,0.05,True
Ruby,13,6268.0,28.0,0.06,False
HTML,11,232.0,0.0,0.07,False
Swift,10,703.5,38.5,0.05,False
Kotlin,9,258.0,75.0,0.04,False
C#,8,3116.5,126.0,0.03,True
CSS,8,185.5,0.0,0.15500000000000003,False
Vue,6,402.0,40.5,0.135,False
Dart,6,592.0,35.0,0.015,False
Markdown,5,244.0,0.0,0.01,False
PHP,4,10649.0,576.0,0.005,True
Clojure,4,5168.0,119.0,0.015,False
MDX,4,380.0,1.0,0.14,False
Zig,3,4490.0,20.0,0.12,False
Vim Script,3,440.0,8.0,0.03,False
Astro,2,1266.0,25.5,0.03,False
PowerShell,2,800.5,41.0,0.015,False
Dockerfile,2,383.5,0.5,0.19999999999999998,False
TeX,2,19.0,3.5,0.315,False
Haskell,2,1073.5,94.0,0.04,False
Makefile,2,3010.5,169.5,0.095,False
Scala,2,5.0,0.0,0.075,False
Blade,1,1710.0,227.0,0.04,False
Batchfile,1,7.0,31.0,0.01,False
Assembly,1,0.0,0.0,0.03,False
Julia,1,27808.0,203.0,0.14,False
Objective-C,1,710.0,40.0,0.97,False
Nunjucks,1,485.0,0.0,0.52,False
LLVM,1,97256.0,159.0,0.01,False
Lua,1,6532.0,147.0,0.22,False
Elixir,1,898.0,12.0,0.17,False
Roff,1,1.0,0.0,0.01,False
Svelte,1,252.0,0.0,0.04,False
V,1,13797.0,304.0,0.06,False
