repositorio,url,ultima_atualizacao,dias_desde_ultima_atualizacao
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2026-08-18T20:25:57Z,0.0
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2026-08-18T20:22:20Z,0.0
public-apis/public-apis,https://github.com/public-apis/public-apis,2026-08-18T20:26:24Z,0.0
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2026-08-18T20:15:27Z,0.01
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2026-08-18T19:57:32Z,0.02
openclaw/openclaw,https://github.com/openclaw/openclaw,2026-08-18T20:10:55Z,0.01
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,2026-08-18T20:22:24Z,0.0
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2026-08-18T20:24:34Z,0.0
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2026-08-18T20:18:56Z,0.01
vinta/awesome-python,https://github.com/vinta/awesome-python,2026-08-18T20:22:23Z,0.0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2026-08-18T20:23:10Z,0.0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2026-08-18T20:21:15Z,0.0
996icu/996.ICU,https://github.com/996icu/996.ICU,2026-08-18T19:31:46Z,0.04
obra/superpowers,https://github.com/obra/superpowers,2026-08-18T20:23:47Z,0.0
react/react,https://github.com/react/react,2026-08-18T19:39:54Z,0.03
torvalds/linux,https://github.com/torvalds/linux,2026-08-18T20:15:41Z,0.01
affaan-m/ECC,https://github.com/affaan-m/ECC,2026-08-18T20:26:26Z,0.0
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2026-08-18T20:26:43Z,0.0
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,2026-08-18T20:25:51Z,0.0
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2026-08-18T20:15:38Z,0.01
mattpocock/skills,https://github.com/mattpocock/skills,2026-08-18T20:26:38Z,0.0
vuejs/vue,https://github.com/vuejs/vue,2026-08-18T19:19:37Z,0.05
ossu/computer-science,https://github.com/ossu/computer-science,2026-08-18T20:11:10Z,0.01
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,2026-08-18T20:26:40Z,0.0
n8n-io/n8n,https://github.com/n8n-io/n8n,2026-08-18T20:23:23Z,0.0
anomalyco/opencode,https://github.com/anomalyco/opencode,2026-08-18T20:20:30Z,0.0
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2026-08-18T19:35:11Z,0.04
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2026-08-18T20:19:05Z,0.01
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,2026-08-18T20:20:43Z,0.0
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,2026-08-18T20:04:48Z,0.02
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2026-08-18T19:14:00Z,0.05
microsoft/vscode,https://github.com/microsoft/vscode,2026-08-18T20:09:21Z,0.01
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,2026-08-18T20:15:07Z,0.01
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,2026-08-18T20:12:14Z,0.01
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2026-08-18T19:57:29Z,0.02
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2026-08-18T20:18:23Z,0.01
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2026-08-18T20:05:48Z,0.01
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2026-08-18T20:06:19Z,0.01
