repositorio,url,linguagem_primaria
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Markdown
sindresorhus/awesome,https://github.com/sindresorhus/awesome,
public-apis/public-apis,https://github.com/public-apis/public-apis,Python
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,Python
openclaw/openclaw,https://github.com/openclaw/openclaw,TypeScript
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,TypeScript
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,
vinta/awesome-python,https://github.com/vinta/awesome-python,Python
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,Python
996icu/996.ICU,https://github.com/996icu/996.ICU,
obra/superpowers,https://github.com/obra/superpowers,Shell
react/react,https://github.com/react/react,JavaScript
torvalds/linux,https://github.com/torvalds/linux,C
affaan-m/ECC,https://github.com/affaan-m/ECC,JavaScript
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python
mattpocock/skills,https://github.com/mattpocock/skills,Shell
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python
vuejs/vue,https://github.com/vuejs/vue,TypeScript
ossu/computer-science,https://github.com/ossu/computer-science,HTML
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,
n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript
anomalyco/opencode,https://github.com/anomalyco/opencode,TypeScript
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,JavaScript
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,Rust
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,Markdown
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell
microsoft/vscode,https://github.com/microsoft/vscode,TypeScript
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,Batchfile
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Python
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,Python
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Jupyter Notebook
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,
avelino/awesome-go,https://github.com/avelino/awesome-go,Go
ollama/ollama,https://github.com/ollama/ollama,Go
flutter/flutter,https://github.com/flutter/flutter,Dart
github/gitignore,https://github.com/github/gitignore,
microsoft/markitdown,https://github.com/microsoft/markitdown,Python
twbs/bootstrap,https://github.com/twbs/bootstrap,MDX
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,TypeScript
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python
anthropics/skills,https://github.com/anthropics/skills,Python
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,TypeScript
f/prompts.chat,https://github.com/f/prompts.chat,HTML
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python
huggingface/transformers,https://github.com/huggingface/transformers,Python
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,JavaScript
langflow-ai/langflow,https://github.com/langflow-ai/langflow,Python
langgenius/dify,https://github.com/langgenius/dify,TypeScript
open-webui/open-webui,https://github.com/open-webui/open-webui,Python
airbnb/javascript,https://github.com/airbnb/javascript,JavaScript
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,C
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,Shell
langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,
anthropics/claude-code,https://github.com/anthropics/claude-code,Python
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,TypeScript
vercel/next.js,https://github.com/vercel/next.js,JavaScript
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,TypeScript
microsoft/PowerToys,https://github.com/microsoft/PowerToys,C
iptv-org/iptv,https://github.com/iptv-org/iptv,TypeScript
golang/go,https://github.com/golang/go,Go
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,Markdown
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,Python
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,HTML
github/spec-kit,https://github.com/github/spec-kit,Python
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,TypeScript
krahets/hello-algo,https://github.com/krahets/hello-algo,Java
garrytan/gstack,https://github.com/garrytan/gstack,TypeScript
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,JavaScript
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,Python
farion1231/cc-switch,https://github.com/farion1231/cc-switch,Rust
react/react-native,https://github.com/react/react-native,C++
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,C++
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go
electron/electron,https://github.com/electron/electron,C++
shadcn-ui/ui,https://github.com/shadcn-ui/ui,TypeScript
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,Rust
nodejs/node,https://github.com/nodejs/node,JavaScript
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,Python
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,Jupyter Notebook
godotengine/godot,https://github.com/godotengine/godot,C++
rust-lang/rust,https://github.com/rust-lang/rust,Rust
mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript
2dust/v2rayN,https://github.com/2dust/v2rayN,C#
d3/d3,https://github.com/d3/d3,Shell
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,Python
immich-app/immich,https://github.com/immich-app/immich,TypeScript
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,Swift
tauri-apps/tauri,https://github.com/tauri-apps/tauri,Rust
microsoft/TypeScript,https://github.com/microsoft/TypeScript,Go
browser-use/browser-use,https://github.com/browser-use/browser-use,Python
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,
axios/axios,https://github.com/axios/axios,JavaScript
fatedier/frp,https://github.com/fatedier/frp,Go
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Shell
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,Python
denoland/deno,https://github.com/denoland/deno,Rust
supabase/supabase,https://github.com/supabase/supabase,TypeScript
openai/whisper,https://github.com/openai/whisper,Python
openai/codex,https://github.com/openai/codex,Rust
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,TypeScript
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,JavaScript
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,Dockerfile
microsoft/terminal,https://github.com/microsoft/terminal,C++
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,Python
react/create-react-app,https://github.com/react/create-react-app,JavaScript
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,Jupyter Notebook
pytorch/pytorch,https://github.com/pytorch/pytorch,Python
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,
neovim/neovim,https://github.com/neovim/neovim,Vim Script
fastapi/fastapi,https://github.com/fastapi/fastapi,Python
angular/angular,https://github.com/angular/angular,TypeScript
ruanyf/weekly,https://github.com/ruanyf/weekly,
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,Go
ant-design/ant-design,https://github.com/ant-design/ant-design,TypeScript
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,Python
mui/material-ui,https://github.com/mui/material-ui,JavaScript
nvbn/thefuck,https://github.com/nvbn/thefuck,Python
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,TypeScript
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,JavaScript
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,Python
oven-sh/bun,https://github.com/oven-sh/bun,Rust
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,TypeScript
microsoft/playwright,https://github.com/microsoft/playwright,TypeScript
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,JavaScript
nvm-sh/nvm,https://github.com/nvm-sh/nvm,Shell
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,Java
earendil-works/pi,https://github.com/earendil-works/pi,TypeScript
karpathy/autoresearch,https://github.com/karpathy/autoresearch,Python
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,
3b1b/manim,https://github.com/3b1b/manim,Python
