repositorio,url,issues_total,issues_fechadas,percentual_issues_fechadas
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,949,677,71.34
sindresorhus/awesome,https://github.com/sindresorhus/awesome,368,352,95.65
public-apis/public-apis,https://github.com/public-apis/public-apis,940,910,96.81
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,22080,21908,99.22
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,1293,1255,97.06
openclaw/openclaw,https://github.com/openclaw/openclaw,47699,44184,92.63
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,402,127,31.59
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,3185,3185,100.0
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,536,455,84.89
vinta/awesome-python,https://github.com/vinta/awesome-python,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,240,88,36.67
996icu/996.ICU,https://github.com/996icu/996.ICU,0,0,
obra/superpowers,https://github.com/obra/superpowers,857,755,88.1
react/react,https://github.com/react/react,14623,13801,94.38
torvalds/linux,https://github.com/torvalds/linux,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,711,667,93.81
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,0,0,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,22810,11372,49.86
mattpocock/skills,https://github.com/mattpocock/skills,676,311,46.01
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,1749,1606,91.82
vuejs/vue,https://github.com/vuejs/vue,10034,9670,96.37
ossu/computer-science,https://github.com/ossu/computer-science,675,658,97.48
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,10048,9707,96.61
anomalyco/opencode,https://github.com/anomalyco/opencode,24189,20222,83.6
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,41701,40939,98.17
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,373,238,63.81
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,2211,2195,99.28
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,0,0,
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,5079,4925,96.97
microsoft/vscode,https://github.com/microsoft/vscode,251266,233711,93.01
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,1075,1067,99.26
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,3937,3651,92.74
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,11937,9963,83.46
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,579,449,77.55
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,729,193,26.47
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,947,947,100.0
avelino/awesome-go,https://github.com/avelino/awesome-go,759,736,96.97
ollama/ollama,https://github.com/ollama/ollama,11028,8600,77.98
flutter/flutter,https://github.com/flutter/flutter,115240,102669,89.09
github/gitignore,https://github.com/github/gitignore,0,0,
microsoft/markitdown,https://github.com/microsoft/markitdown,572,181,31.64
twbs/bootstrap,https://github.com/twbs/bootstrap,22944,22838,99.54
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,0,0,
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,3325,2709,81.47
anthropics/skills,https://github.com/anthropics/skills,365,49,13.42
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,957,886,92.58
f/prompts.chat,https://github.com/f/prompts.chat,173,152,87.86
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,7912,5491,69.4
huggingface/transformers,https://github.com/huggingface/transformers,19337,18465,95.49
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,264,138,52.27
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,1158,1100,94.99
langflow-ai/langflow,https://github.com/langflow-ai/langflow,3424,3209,93.72
langgenius/dify,https://github.com/langgenius/dify,18664,18371,98.43
open-webui/open-webui,https://github.com/open-webui/open-webui,9405,9207,97.89
airbnb/javascript,https://github.com/airbnb/javascript,1416,1316,92.94
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,6149,3355,54.56
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,145,87,60.0
langchain-ai/langchain,https://github.com/langchain-ai/langchain,10027,9698,96.72
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,212,121,57.08
anthropics/claude-code,https://github.com/anthropics/claude-code,85517,71445,83.54
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,126,92,73.02
vercel/next.js,https://github.com/vercel/next.js,25216,23346,92.58
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,26831,23205,86.49
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,5814,5427,93.34
microsoft/PowerToys,https://github.com/microsoft/PowerToys,41166,33781,82.06
iptv-org/iptv,https://github.com/iptv-org/iptv,34573,34557,99.95
golang/go,https://github.com/golang/go,72903,63255,86.77
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,981,981,100.0
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,173,167,96.53
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,0,0,
github/spec-kit,https://github.com/github/spec-kit,1530,1368,89.41
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,4918,2650,53.88
krahets/hello-algo,https://github.com/krahets/hello-algo,292,278,95.21
garrytan/gstack,https://github.com/garrytan/gstack,771,471,61.09
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,300,300,100.0
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,9150,5047,55.16
farion1231/cc-switch,https://github.com/farion1231/cc-switch,4712,3185,67.59
react/react-native,https://github.com/react/react-native,27781,27108,97.58
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,9567,8792,91.9
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,49555,47702,96.26
electron/electron,https://github.com/electron/electron,21830,21152,96.89
shadcn-ui/ui,https://github.com/shadcn-ui/ui,4243,3175,74.83
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,4306,4228,98.19
nodejs/node,https://github.com/nodejs/node,20780,20129,96.87
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,0,0,
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,174,135,77.59
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,0,0,
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,244,244,100.0
godotengine/godot,https://github.com/godotengine/godot,63388,49976,78.84
rust-lang/rust,https://github.com/rust-lang/rust,63556,52227,82.17
mrdoob/three.js,https://github.com/mrdoob/three.js,13745,13498,98.2
2dust/v2rayN,https://github.com/2dust/v2rayN,7141,7122,99.73
d3/d3,https://github.com/d3/d3,2247,2242,99.78
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,773,755,97.67
immich-app/immich,https://github.com/immich-app/immich,9154,8674,94.76
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,562,403,71.71
tauri-apps/tauri,https://github.com/tauri-apps/tauri,6419,5136,80.01
microsoft/TypeScript,https://github.com/microsoft/TypeScript,43385,38240,88.14
browser-use/browser-use,https://github.com/browser-use/browser-use,1606,1504,93.65
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,385,78,20.26
axios/axios,https://github.com/axios/axios,5056,5009,99.07
fatedier/frp,https://github.com/fatedier/frp,4143,4100,98.96
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,252,250,99.21
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,1401,915,65.31
denoland/deno,https://github.com/denoland/deno,15010,13827,92.12
supabase/supabase,https://github.com/supabase/supabase,5842,5571,95.36
openai/whisper,https://github.com/openai/whisper,0,0,
openai/codex,https://github.com/openai/codex,23557,10514,44.63
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,14228,13670,96.08
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,272,211,77.57
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,342,288,84.21
microsoft/terminal,https://github.com/microsoft/terminal,14059,12412,88.29
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,1086,945,87.02
react/create-react-app,https://github.com/react/create-react-app,8432,6576,77.99
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,240,238,99.17
pytorch/pytorch,https://github.com/pytorch/pytorch,60453,46560,77.02
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,857,392,45.74
neovim/neovim,https://github.com/neovim/neovim,14493,12904,89.04
fastapi/fastapi,https://github.com/fastapi/fastapi,3544,3543,99.97
angular/angular,https://github.com/angular/angular,30897,29906,96.79
ruanyf/weekly,https://github.com/ruanyf/weekly,10450,1694,16.21
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,47,31,65.96
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,355,185,52.11
ant-design/ant-design,https://github.com/ant-design/ant-design,32770,31756,96.91
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,456,272,59.65
mui/material-ui,https://github.com/mui/material-ui,20515,19137,93.28
nvbn/thefuck,https://github.com/nvbn/thefuck,790,483,61.14
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,4902,4877,99.49
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,201,53,26.37
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,459,392,85.4
